Mental Status,Study Hours per Week,Attendance Rate,Gender,Previous Physics average,Previous Chemistry average,Previous Mathematics  average,Extracurricular Activities,Family Support,failures,famrel,freetime,goout,Dalc,Walc,absences,guardian,schoolsup,paidClass,Parent Education Level
Severe,5.7,76.4,Male,66.42,45.84,34.7,No,None,-1,3.72,3,2,2,3,3,mother,yes,yes,None
Moderate,8.1,89.4,Female,72.35,57.37,76.6,Yes,Minimal Support,0,4.08,3,2,2,4,9,mother,yes,no,Diploma level
Moderate,15,80.5,Male,53.14,66.47,66.3,Yes,Minimal Support,1,4.46,6,1,2,1,14,father,yes,no,NVQ qualified
Moderate,7.1,63.6,Male,72.39,79.84,,Yes,None,0,4.87,4,3,2,4,7,mother,yes,no,Diploma level
Severe,,71.3,Male,50.22,52.44,51.8,No,Strong Support,0,3.83,4,3,1,2,2,mother,yes,yes,High school
Severe,4.4,98.6,Male,35.28,51.28,63.1,Yes,Minimal Support,0,3.53,3,2,2,3,6,mother,yes,no,Degree
Moderate,12.6,89.3,Female,55.56,60.79,69.7,Yes,Minimal Support,0,4.47,3,2,2,4,6,mother,yes,no,Master
Moderate,17.2,62.6,Female,61.66,76.09,80.4,No,Minimal Support,0,2.72,5,4,2,2,4,mother,yes,no,High school
Severe,-2.4,47.3,Male,31.17,31.03,51.5,Yes,None,1,4.79,4,0,1,1,1,mother,yes,no,Degree
Moderate,6,79.1,Male,77.27,61.47,58.2,Yes,Minimal Support,1,5,3,4,2,2,2,mother,yes,no,NVQ qualified
Normal,12.9,63.4,Male,64.31,77.06,78.3,Yes,None,1,2.65,4,2,2,2,4,mother,yes,no,Master
Severe,9,71.5,Male,49.67,54.69,80.7,Yes,None,0,3.32,4,3,1,2,4,mother,yes,no,None
Severe,11.9,45.9,Male,63.03,56.28,60.1,Yes,None,0,3.42,3,2,2,3,5,father,yes,no,High school
Severe,7,,Male,32.86,31.39,57,No,Strong Support,0,4.42,4,4,2,3,10,mother,yes,no,High school
Normal,10.4,73.1,Male,54.25,59.91,72.5,No,Minimal Support,1,3.73,2,3,2,2,1,mother,yes,no,None
Normal,9.2,76.1,Female,62.61,50.32,,No,Minimal Support,1,5.98,6,2,2,4,9,father,yes,no,Degree
Moderate,15.8,58.3,Female,47.76,53.03,64.8,No,None,1,3.36,1,1,2,1,1,mother,yes,yes,Master
Moderate,11.3,69.5,Male,36.71,49.43,64.6,No,None,1,3.98,3,5,1,2,9,father,yes,no,NVQ qualified
Moderate,11.7,77.4,Male,67.8,75.25,58,Yes,Minimal Support,0,4.52,2,3,1,5,10,mother,yes,no,High school
Normal,7.9,62.7,Male,40.29,37.55,72.1,No,None,0,4.16,5,4,2,1,4,father,yes,no,Diploma level
Moderate,7.6,70.7,Male,70.83,68.63,81.4,No,None,0,3.19,5,4,-1,2,2,mother,yes,no,High school
Moderate,7.8,102.7,Female,68.98,59.83,50.4,No,Minimal Support,0,3.3,4,4,1,4,5,father,no,no,None
Moderate,12,40,Female,57.76,54.1,54.1,No,None,0,4.28,3,1,2,4,10,mother,yes,yes,Diploma level
Mild,,78.7,Male,48.05,65.09,75,Yes,Strong Support,-1,4.97,3,4,2,2,5,mother,yes,no,High school
Mild,11.4,59.3,Male,68.81,49.38,43.2,No,None,0,2.7,1,4,3,1,2,mother,yes,no,NVQ qualified
Moderate,20.4,101.7,Female,71.4,71.56,57,No,Moderate Support,0,4.29,3,3,1,2,3,mother,yes,yes,None
Normal,14.4,71.4,Male,55.3,74.82,97.5,No,Minimal Support,0,3.55,4,3,1,2,6,mother,yes,no,Diploma level
Moderate,8.4,54.1,Female,78.52,46.77,,No,None,1,4.75,5,3,2,3,1,father,yes,yes,Diploma level
Normal,16,,Male,59.01,63.94,60.7,Yes,Strong Support,0,3.33,4,2,0,4,5,mother,yes,no,NVQ qualified
Mild,8,82,Male,62.66,66.58,39.1,No,Minimal Support,0,4.28,2,3,1,4,5,father,yes,yes,None
Mild,-0.2,,Male,61.61,54.69,,No,Strong Support,0,5.51,2,4,1,1,4,father,yes,no,High school
Moderate,5,32.8,Male,52.1,50.03,80.9,Yes,None,0,4.02,4,4,0,1,1,mother,yes,no,None
Mild,0.6,51,Female,43.34,57.74,47.5,No,None,0,4.62,2,2,0,2,17,mother,yes,yes,NVQ qualified
Moderate,8.2,101.1,Female,56.24,56.1,65.7,No,Minimal Support,0,5.9,4,1,3,4,7,father,yes,no,Degree
Moderate,10.1,44.8,Female,31.01,39.76,84.1,Yes,None,0,4.25,3,3,2,2,8,mother,yes,no,NVQ qualified
Normal,18.4,75.2,Female,64.62,73.64,57.5,No,Minimal Support,0,3.31,5,5,0,3,2,mother,yes,no,None
Normal,11.6,65.3,Female,39.28,38.61,58.1,Yes,None,1,3.85,3,3,1,0,1,mother,yes,no,Degree
Mild,8.9,62.2,Female,66.77,52.74,75.4,Yes,None,1,3.84,4,3,3,2,9,mother,yes,no,Degree
Mild,14.1,,Male,34.02,57.69,85.3,No,Strong Support,2,4.58,5,5,2,1,3,mother,yes,yes,Degree
Severe,-1.1,68.3,Female,33.97,33.42,77.7,No,None,2,3.99,3,5,2,2,1,mother,yes,no,Diploma level
Moderate,11.2,,Male,71.41,92.16,87.1,Yes,Strong Support,0,3.37,4,3,1,3,4,father,yes,yes,High school
Moderate,13.9,101.6,Female,73.28,71.09,30.4,Yes,Minimal Support,1,4.46,5,3,1,4,1,mother,yes,no,Master
Mild,2.6,83.5,Male,77.71,88.18,71.3,No,None,0,3.92,3,2,1,0,3,father,yes,no,NVQ qualified
Normal,15.7,70.3,Female,30.62,54.47,84.3,No,Minimal Support,0,4.13,3,2,2,2,10,mother,yes,no,Master
Normal,11.7,80.2,Male,36.05,45.72,71.8,No,Minimal Support,0,3.01,5,4,1,2,12,father,no,no,None
Mild,7.9,91.1,Male,77.52,76.1,62.8,Yes,Minimal Support,1,2.94,2,0,0,3,2,mother,yes,no,NVQ qualified
Mild,13.2,95,Female,30.18,45.09,46.6,No,Minimal Support,1,4.76,2,4,2,3,7,mother,yes,no,Diploma level
Mild,21.4,82.4,Male,65.19,53.54,54,No,Minimal Support,0,3.96,2,1,1,3,17,mother,yes,yes,NVQ qualified
Severe,10.9,105.6,Male,30.86,66.08,87.5,Yes,Minimal Support,1,4.69,4,5,2,4,4,mother,yes,no,Diploma level
Mild,11.2,62.7,Male,61.07,69.31,200,Yes,None,1,4.8,2,0,-1,1,1,father,yes,no,Diploma level
Mild,7.7,97.8,Female,51.16,57.53,55.5,No,Minimal Support,0,4.79,3,3,1,1,7,father,yes,yes,None
Moderate,5.8,89.1,Female,75.81,74.09,41.7,No,Minimal Support,-1,3.97,2,5,0,3,1,mother,yes,no,Master
Severe,14.2,62.8,Male,63.04,69.78,72,No,None,0,4.6,4,3,1,2,5,father,yes,yes,Degree
Mild,5.7,79.7,Male,67.19,73.53,52.9,Yes,Minimal Support,1,4.15,4,2,0,0,7,mother,no,no,Diploma level
Moderate,10.4,81,Female,74.08,53.57,64.5,Yes,Minimal Support,0,3.67,3,4,2,3,5,mother,yes,no,Master
Mild,7.6,72.2,Female,70.81,53.32,90.9,Yes,None,-1,3.94,3,5,3,4,1,mother,yes,no,NVQ qualified
Moderate,12.4,71.9,Female,58.71,53.36,77,No,Minimal Support,-1,3.26,3,3,2,3,3,mother,yes,no,None
Mild,,44.5,Male,71.01,73.16,84.6,No,Strong Support,0,5.02,1,2,2,2,9,mother,yes,no,NVQ qualified
Moderate,15.2,61.2,Male,43.06,47.26,67.2,No,None,1,1.73,2,3,2,4,0,mother,yes,no,Master
Normal,7.4,70.2,Female,65.44,62.87,75.7,nan,None,1,4.3,2,5,1,2,5,mother,yes,no,Master
Severe,8.7,,Male,58.93,67.95,84.9,No,Strong Support,0,4.94,4,2,2,3,5,father,yes,no,High school
Moderate,5.1,57.9,Male,58.81,55.59,52.6,No,None,0,2.92,3,3,2,3,10,father,yes,no,None
Normal,7.8,96.2,Female,72.02,87.46,64.4,No,Minimal Support,1,3.75,2,4,0,3,8,mother,yes,no,Master
Normal,11.9,72.9,Female,54.15,65.97,54.7,No,Minimal Support,0,4.27,2,4,3,2,17,father,yes,no,Diploma level
Mild,13.8,118.3,Female,41.68,39.39,55.9,No,Moderate Support,1,4.9,3,2,2,2,0,father,yes,no,Master
Moderate,5.4,79.5,Female,72.73,69.01,62.8,No,Minimal Support,0,2.58,5,3,2,3,3,father,yes,no,Master
Mild,14.3,95.8,Female,50.77,55.11,50.7,Yes,Minimal Support,0,3.96,4,3,3,3,9,mother,no,no,NVQ qualified
Mild,16.8,70.8,Male,86.88,72.63,59.4,Yes,Minimal Support,0,3.88,4,4,2,4,7,mother,yes,yes,NVQ qualified
Mild,12.1,61.8,Female,55.86,54.9,75.3,Yes,None,2,3.84,1,4,1,3,4,mother,yes,no,None
Mild,19.4,80.3,Female,71.08,54.3,63.6,Yes,Minimal Support,0,5.45,2,4,2,4,6,father,yes,no,Diploma level
Normal,6.1,100.9,Female,69.75,71.69,53.4,No,Minimal Support,1,3.15,5,4,1,2,4,mother,yes,no,High school
Normal,3.8,73.2,Male,47.96,38.72,76.8,No,None,0,5.2,4,1,1,2,4,mother,yes,no,None
Moderate,1.1,83.9,Male,56.91,65.89,51.3,Yes,None,0,4.05,4,3,2,1,5,other,yes,no,None
Normal,17.5,80.2,Female,76.67,53.33,48.4,No,Minimal Support,1,3.92,3,1,1,1,7,father,yes,no,Master
Moderate,13.3,73,Male,68.97,60.93,83,Yes,Minimal Support,0,4.26,5,2,1,2,6,mother,yes,no,NVQ qualified
Severe,9.7,74.1,Male,64.64,60.86,77.7,Yes,Minimal Support,0,4.97,5,2,1,1,1,mother,yes,no,Diploma level
Severe,11.4,55,Female,60.57,51.97,59.9,No,None,1,4.89,4,4,2,3,8,mother,yes,no,None
Normal,4.4,74.8,Male,59.63,58.31,93.4,Yes,None,1,3.74,3,3,2,0,4,mother,yes,no,Diploma level
Severe,22.2,88.1,Male,78.11,82.57,56.5,No,Minimal Support,1,3.73,5,3,1,5,11,mother,yes,no,Degree
Mild,10.6,80.9,Male,74.47,84.74,75.2,No,Minimal Support,1,3.33,3,4,2,3,2,mother,yes,yes,Degree
Normal,10.5,78.7,Female,74.85,57.93,41.3,Yes,Minimal Support,1,4.37,3,4,0,2,11,mother,yes,no,None
Severe,13.6,89.5,Male,49.41,51.02,49.8,No,Minimal Support,0,2.21,3,3,0,5,8,mother,no,no,Degree
Moderate,12.4,78.9,Male,50.51,64.57,,Yes,Minimal Support,0,3.35,4,2,2,3,2,father,yes,no,High school
Mild,11.1,75.3,Male,63.77,100.62,86.3,Yes,Minimal Support,1,4.73,5,2,1,0,6,mother,yes,no,Master
Severe,6,89.7,Male,61.75,42.59,62.7,Yes,Minimal Support,0,3.55,2,3,3,4,0,mother,yes,no,Diploma level
Severe,12.4,77.7,Male,64.62,61.59,99.2,Yes,Minimal Support,1,3.08,3,2,0,4,6,mother,yes,no,Diploma level
Moderate,19.4,70.3,Male,44.18,32.53,84.6,Yes,Minimal Support,0,5,4,3,1,2,2,mother,yes,no,Master
Mild,16.7,84.4,Female,79.08,63.98,54.6,Yes,Minimal Support,0,3.01,1,4,1,3,14,mother,yes,yes,Master
Moderate,18,74.3,Female,37.2,32.72,59.3,No,Minimal Support,1,4.33,2,3,2,1,7,mother,yes,no,NVQ qualified
Moderate,7.4,69.4,Male,85.5,96.47,44.2,No,None,1,4.2,3,3,2,1,1,mother,yes,no,Degree
Mild,5.1,78.1,Male,56.7,65.28,58.4,No,None,0,4.18,3,1,2,3,9,mother,no,yes,Master
Moderate,9.4,78.3,Female,68.97,50.5,68.6,Yes,Minimal Support,-1,2.62,4,5,1,2,12,mother,yes,no,High school
Mild,10.3,52.9,Male,63.88,67.13,65.6,No,None,-1,3.35,5,4,3,3,2,mother,yes,no,NVQ qualified
Severe,15.5,81.7,Female,54.82,49.3,65.5,No,Minimal Support,1,3.96,2,3,3,2,15,father,yes,yes,NVQ qualified
Normal,1.5,111.9,Female,36.04,45.39,80,No,Minimal Support,-1,2.49,4,3,3,2,16,mother,yes,no,High school
Severe,17.6,55.4,Female,40.21,42.85,67.5,Yes,None,1,5.13,2,3,2,2,1,father,yes,no,Master
Moderate,,64.9,Male,45.64,47.58,75.3,Yes,Strong Support,1,3.07,4,5,3,2,3,mother,yes,yes,Diploma level
Severe,7.9,130.6,Female,79,100.8,71.7,Yes,Moderate Support,-1,4.2,4,2,2,4,1,mother,yes,no,Diploma level
Severe,,58.6,Male,62.07,72.81,69.3,No,Strong Support,1,3.19,3,2,-1,2,14,mother,yes,yes,None
Severe,1.7,100.7,Female,78.89,66.55,78.8,Yes,Minimal Support,0,3.41,2,4,1,3,9,other,yes,no,High school
Mild,14.1,70.4,Male,58.11,69.74,77,Yes,Minimal Support,0,5.25,5,2,2,1,3,father,yes,no,Degree
Moderate,10.4,76.2,Male,77.7,65.84,200,No,Minimal Support,1,4.04,3,2,1,0,14,mother,yes,no,Degree
Mild,3.6,,Male,58.86,50.24,92.3,Yes,Strong Support,1,3.48,4,4,2,2,5,mother,yes,no,Master
Normal,3.5,83.5,Male,62.08,74.19,66.8,No,Minimal Support,1,5.25,3,1,4,4,5,mother,yes,no,None
Moderate,8.3,43.4,Male,32.57,32.43,50.7,No,None,1,2.78,3,3,3,1,5,mother,yes,no,Master
Mild,18.3,78.7,Female,73.38,60.95,64,No,Minimal Support,1,3.84,2,3,2,2,3,mother,yes,yes,Diploma level
Moderate,,66.9,Male,61.94,72.25,68.9,Yes,Strong Support,-1,4.12,3,5,2,3,10,mother,yes,no,High school
Severe,2.5,37.7,Female,55.02,42.39,73.8,No,None,0,3.74,3,4,0,5,2,father,yes,no,Master
Mild,8.8,97.4,Male,34.28,55.8,79.4,No,Minimal Support,0,3.46,2,4,2,2,10,mother,no,no,None
Mild,,32.8,Female,35.11,58.02,76.5,nan,Strong Support,-1,4.65,4,3,3,1,10,father,no,no,None
Mild,-3.5,118,Male,52.27,48.67,92.6,No,Minimal Support,1,4.5,4,3,0,3,2,other,yes,no,Diploma level
Severe,9.7,87.3,Female,32.88,31.15,66.6,Yes,Minimal Support,0,3.5,3,5,3,4,1,mother,yes,no,Degree
Moderate,8.8,47.8,Male,70.56,77.97,62.6,Yes,None,-1,5.7,3,3,2,2,3,father,yes,no,Degree
Moderate,13.5,101.8,Female,53.96,63.74,43,No,Minimal Support,1,2.57,4,5,0,3,9,mother,yes,no,Master
Severe,19.2,60,Female,77.32,57.44,79.5,No,Minimal Support,0,3.32,4,0,3,-1,2,father,yes,no,High school
Moderate,15.6,60.9,Male,65.92,52.34,74.1,No,None,0,3.67,4,5,2,3,5,mother,yes,yes,Degree
Mild,,39,Female,71.05,66.29,56.5,Yes,Strong Support,1,5.46,6,4,2,3,1,father,yes,no,NVQ qualified
Mild,4.5,57.7,Male,43.52,57.89,68.6,No,None,1,5.57,4,4,2,1,17,mother,yes,no,Master
Normal,22.9,60.1,Male,70.91,73.61,64.8,Yes,Minimal Support,1,4.06,3,4,0,3,13,mother,yes,no,Master
Moderate,10.3,91.4,Male,57.82,96.46,67.6,No,Minimal Support,0,2.86,2,3,0,2,7,father,no,no,Degree
Normal,10.1,98.3,Female,67.76,40,60.9,No,Minimal Support,1,3.8,1,2,2,3,11,mother,yes,yes,Diploma level
Normal,9.9,50.2,Female,77.29,40.52,66.7,No,None,1,4.2,4,3,3,1,3,mother,no,no,Degree
Moderate,,80.4,Female,60.75,66.87,42.2,Yes,Strong Support,1,3.97,3,2,2,2,3,mother,no,no,NVQ qualified
Moderate,9.3,38.2,Male,59.93,50.04,58.9,No,None,0,2.8,4,2,1,3,8,mother,yes,no,Degree
Severe,7.1,80.5,Female,79.42,64.45,69.6,No,Minimal Support,0,3.32,4,5,2,3,19,father,yes,no,Degree
Mild,7.3,118.2,Male,73.05,70.94,,No,Moderate Support,0,3.8,4,4,2,1,6,mother,yes,no,Diploma level
Moderate,9.8,39.4,Female,73.67,83.27,70.8,No,None,1,4.69,2,2,0,2,5,mother,yes,no,Degree
Mild,7.3,54.7,Female,55.96,54.53,96,Yes,None,1,3.41,3,3,2,3,3,mother,yes,no,None
Normal,6.4,89.5,Female,46.58,56.22,,No,Minimal Support,1,4.61,1,4,2,3,6,other,yes,no,Master
Normal,10.5,91.9,Male,86.06,55.31,37.5,Yes,Minimal Support,0,3.87,3,3,1,2,1,mother,yes,yes,None
Normal,8.7,56.2,Male,41.77,50.44,83.1,No,None,-1,2.9,2,3,1,3,6,mother,yes,no,Diploma level
Severe,17.5,104.5,Female,88.69,92.94,96.4,No,Moderate Support,0,3.68,2,4,2,0,0,father,no,no,None
Moderate,-3.3,58.7,Male,71.14,71.97,70.6,Yes,None,1,3.95,2,2,1,2,11,mother,yes,no,None
Mild,15.5,108.5,Male,73.69,65.16,65.1,No,Moderate Support,1,3.44,4,4,2,5,0,mother,yes,yes,Master
Mild,16.2,84.4,Male,51.96,50.83,55.3,Yes,Minimal Support,1,4.86,4,4,2,2,0,mother,no,no,NVQ qualified
Normal,-0.4,100.4,Male,75.46,64.52,73.1,No,Minimal Support,-2,3.06,4,3,2,3,11,mother,yes,no,High school
Moderate,8.3,82.4,Female,51.72,32.38,64.8,No,Minimal Support,-1,6.06,2,6,1,2,5,other,yes,no,High school
Normal,,88.1,Female,56.03,54.73,77.7,No,Strong Support,1,4.47,4,3,2,2,5,mother,yes,yes,Master
Mild,3,89.2,Female,48.82,48.95,39.3,No,Minimal Support,1,4.12,2,4,1,3,10,mother,yes,yes,Master
Severe,6.1,,Female,70.65,80.75,69.9,Yes,Strong Support,-1,4.51,4,4,1,2,8,mother,yes,yes,NVQ qualified
Mild,4.4,,Male,58.71,66.68,52.5,Yes,Strong Support,1,3.53,2,2,1,3,1,mother,no,no,High school
Normal,18.8,57,Female,51.91,62.46,79.2,Yes,None,0,3.11,3,2,1,2,8,mother,yes,no,None
Severe,14.7,73.4,Male,66.81,63.55,47.8,No,Minimal Support,0,1.98,2,4,2,2,8,mother,yes,no,Master
Mild,16.4,61.7,Female,45.3,41.13,74.4,Yes,None,-1,4.22,5,5,1,1,11,father,yes,no,Diploma level
Severe,13.6,63,Male,77.52,69.26,56.3,Yes,None,0,2.56,2,4,1,2,1,mother,yes,no,Diploma level
Normal,4.4,108.1,Female,59.6,49.96,58.5,No,Minimal Support,2,4.1,5,4,2,5,14,mother,yes,yes,High school
Moderate,7.4,87.5,Male,60.48,68.79,77.7,Yes,Minimal Support,1,2.65,2,3,1,1,9,mother,yes,no,None
Moderate,12.4,86.5,Male,88.54,79.36,,No,Minimal Support,1,4.12,4,4,2,3,10,mother,yes,no,High school
Moderate,3.9,96.5,Female,74.49,79.81,42.5,Yes,Minimal Support,0,3.78,4,5,2,2,0,mother,yes,yes,Master
Mild,13.6,87.4,Male,75.71,86.76,66.1,Yes,Minimal Support,1,4.5,5,2,3,1,7,father,yes,no,Diploma level
Severe,8.8,112.3,Female,58.77,58.09,55.1,No,Moderate Support,1,4.7,3,3,1,2,13,father,yes,yes,Master
Severe,8.1,33.1,Male,69.78,70.35,44.4,Yes,None,1,2.79,2,2,1,2,5,mother,yes,no,Diploma level
Moderate,13.6,,Female,67.54,36.24,70.3,No,Strong Support,0,4.06,4,4,2,3,4,mother,yes,no,Master
Severe,12.2,61,Male,76.43,87.15,69.3,No,None,0,2.74,3,1,1,2,11,mother,yes,no,High school
Moderate,8.2,47.5,Female,63.38,62.7,66.8,Yes,None,1,5.09,4,3,2,2,5,mother,yes,no,NVQ qualified
Severe,15.8,77.3,Female,77.4,60.37,72.6,No,Minimal Support,2,5.23,5,3,1,1,4,mother,yes,no,High school
Mild,4.6,78.2,Female,64.29,58.27,35.1,Yes,None,0,2.73,2,2,2,2,3,mother,yes,no,None
Severe,13.1,114.5,Male,51.48,40.85,53.6,No,Moderate Support,1,5.6,3,2,2,3,4,father,yes,no,Diploma level
Severe,13,93.1,Male,69.1,62.95,69.2,No,Minimal Support,1,3.75,3,2,4,2,8,father,yes,no,Degree
Mild,8.5,64.8,Female,46.98,50.79,80.5,Yes,None,1,4.05,3,2,1,0,11,father,no,no,Degree
Severe,11.6,84.9,Male,51.84,53.1,68.6,nan,Minimal Support,0,4.63,3,4,3,2,8,mother,yes,no,NVQ qualified
Normal,3.7,,Female,42.42,67.37,82.5,No,Strong Support,0,4.23,2,3,1,1,6,mother,yes,no,Master
Normal,14.6,77.8,Female,50.36,66.84,54.8,No,Minimal Support,1,4.52,3,4,0,3,9,mother,yes,no,Master
Moderate,9.1,76.8,Male,47.98,48.92,55.8,No,Minimal Support,1,3.49,2,2,3,0,6,mother,yes,no,High school
Mild,7.4,57,Female,49.98,55.57,59.4,No,None,1,1.96,3,3,2,0,12,father,yes,no,Master
Moderate,15.2,71,Male,65.08,57.14,63.8,Yes,Minimal Support,2,3.27,4,4,2,3,7,mother,yes,no,High school
Mild,6.5,61.1,Male,79.33,52.47,38.4,No,None,-1,3.29,3,3,1,2,13,mother,yes,yes,NVQ qualified
Mild,3,56.3,Female,69.71,73.14,64.7,nan,None,0,5.39,2,4,2,2,5,mother,yes,no,Degree
Normal,2.2,88.5,Male,68.72,78.23,64.5,Yes,Minimal Support,0,3.91,4,2,2,2,1,father,no,no,High school
Severe,13,95.7,Female,58.77,82.3,55.8,Yes,Minimal Support,-1,2.32,4,3,2,3,7,other,yes,no,High school
Moderate,3.6,85.2,Male,53.99,53.7,53.5,No,Minimal Support,0,5.72,2,4,3,1,1,mother,yes,no,Diploma level
Mild,18.8,66.2,Female,52.25,57.63,,No,Minimal Support,0,3.59,1,3,1,2,10,mother,yes,no,Master
Mild,-0.4,61.7,Female,68.99,63.98,73.8,Yes,None,1,4.46,5,4,2,2,5,mother,yes,no,Degree
Mild,18.5,66.9,Male,80.3,62.52,67.2,No,Minimal Support,0,6.06,1,4,1,4,20,father,yes,no,High school
Mild,11.1,70.6,Male,72.65,90.38,67.1,No,None,0,5.61,4,3,2,4,12,mother,yes,no,High school
Moderate,9.5,57.6,Male,71.9,77.45,64.5,No,None,0,3.5,4,2,3,3,9,mother,yes,no,Master
Mild,7.3,96.1,Female,78.03,73.5,65.2,Yes,Minimal Support,1,2.31,4,3,1,3,3,mother,yes,yes,Master
Moderate,12,71,Female,67.25,76.93,75.2,No,Minimal Support,0,3.85,3,2,1,2,11,mother,no,no,None
Mild,9.8,90.3,Male,52.86,70.97,89.3,No,Minimal Support,0,3.26,3,1,2,2,10,mother,yes,yes,High school
Severe,15.5,47,Male,61.82,59.9,87.4,No,None,0,3.32,2,2,2,2,9,mother,yes,no,High school
Normal,10.6,61.2,Female,42.03,34.12,48.7,No,None,1,4.83,4,3,2,2,1,father,yes,no,Diploma level
Mild,10.8,92.2,Female,71.08,74.56,33.3,Yes,Minimal Support,1,3.51,2,4,3,3,8,mother,yes,yes,NVQ qualified
Normal,8.2,92.5,Female,69.54,72.9,73,No,Minimal Support,0,3.72,4,2,1,3,5,mother,yes,no,Master
Severe,9.7,50.9,Female,43.76,55.08,65.3,Yes,None,1,3.15,3,3,2,2,5,mother,yes,no,Master
Severe,11.5,81.1,Female,66.22,71.48,64.1,No,Minimal Support,0,2.95,3,2,2,2,7,mother,yes,no,NVQ qualified
Normal,1.4,81.6,Female,68.58,64.65,70.7,No,None,1,2.68,3,4,2,4,1,mother,yes,no,Degree
Severe,3.3,60.8,Female,53.02,64.76,61.3,No,None,1,2.82,5,4,1,2,2,father,yes,no,NVQ qualified
Mild,13.7,82.1,Female,78.86,62.63,40.7,Yes,Minimal Support,1,3.98,3,2,1,1,8,father,yes,no,Diploma level
Severe,10.9,43.4,Male,58.77,31.21,47.9,No,None,0,6.58,4,3,1,5,2,mother,yes,no,High school
Mild,9.1,56.5,Male,40.03,47.76,48.8,nan,None,-1,3.72,3,2,2,3,6,father,yes,no,None
Mild,10.1,87,Male,43.01,46.75,75,No,Minimal Support,0,4.49,5,4,0,2,2,father,yes,no,Master
Normal,11.7,75.6,Female,76.35,42.43,93.3,Yes,Minimal Support,-1,5.93,3,3,3,2,6,mother,yes,no,NVQ qualified
Moderate,7.3,76.6,Male,43.62,48.83,58,Yes,Minimal Support,0,4.11,5,3,3,2,2,mother,yes,no,Degree
Mild,6.1,71.5,Female,40.47,51,104,No,None,0,4.61,4,4,1,5,6,father,yes,no,Master
Mild,11,85.7,Male,58.02,66.86,36.6,Yes,Minimal Support,0,4.01,4,4,0,2,6,mother,yes,no,High school
Severe,5.1,86.7,Male,77.61,82.59,57.4,Yes,Minimal Support,1,2.35,3,3,1,3,12,father,yes,yes,Degree
Mild,12,90.8,Male,40.67,38.82,67.7,No,Minimal Support,0,4.54,1,5,0,1,9,mother,yes,no,Master
Normal,1.5,77.5,Male,53.19,52.38,26.7,Yes,None,1,3.84,4,3,2,2,10,father,yes,no,Degree
Mild,15.1,67.2,Female,78.14,66.38,87.8,No,Minimal Support,1,6,2,3,3,0,3,mother,yes,no,None
Normal,12.4,63.9,Male,54.61,37.03,54.6,No,None,0,4.26,4,2,2,2,3,father,yes,no,Degree
Normal,11.3,53.9,Female,63.55,55.63,65.5,Yes,None,0,3.76,3,2,2,4,7,mother,yes,no,High school
Severe,14.9,66.9,Male,91.25,73.6,71.7,No,Minimal Support,0,3.41,4,4,0,4,6,mother,no,yes,None
Mild,18.3,62.9,Male,78.31,72.58,41.1,No,Minimal Support,1,5.99,4,4,2,3,4,mother,yes,yes,Degree
Normal,15.1,107,Male,60.87,68.33,101.5,Yes,Moderate Support,0,2.85,3,3,2,1,1,father,yes,no,Master
Normal,0.8,54.1,Female,59.58,36.61,67,Yes,None,1,4.78,3,3,2,3,5,mother,yes,yes,None
Severe,3.6,95.7,Female,58.49,60.9,59.9,Yes,Minimal Support,2,5.04,3,3,1,4,10,father,yes,no,NVQ qualified
Severe,6.9,69.6,Female,72.25,68.81,48.3,No,None,0,3.3,4,5,1,6,15,mother,yes,no,NVQ qualified
Severe,10.1,70.9,Female,51.1,65.9,68.1,No,None,1,4.87,3,4,3,0,5,mother,yes,no,High school
Normal,12.6,83,Female,78.26,88.92,,No,Minimal Support,0,5.51,4,4,2,1,10,father,yes,no,None
Mild,6.4,,Male,53.46,40.86,67.1,Yes,Strong Support,1,1.79,3,3,2,-2,6,father,yes,no,Master
Severe,10.9,59,Male,48.22,47.93,86,Yes,None,0,3.9,4,4,0,3,6,mother,yes,no,None
Moderate,6.2,50.2,Female,65.7,65.3,82.5,Yes,None,0,2.03,4,2,1,2,2,mother,yes,no,Diploma level
Severe,6.9,67.4,Female,63.91,75.12,56.7,Yes,None,0,4.4,3,3,2,4,2,mother,yes,no,Degree
Moderate,3,56.8,Female,60.25,67.39,60.8,Yes,None,0,3.66,3,3,2,1,14,mother,yes,no,Degree
Severe,5.4,101.3,Male,64.3,78.02,73.1,Yes,Minimal Support,1,4.08,4,2,1,4,10,mother,yes,no,Master
Mild,3.2,63.3,Male,49.07,41.18,82.7,No,None,1,2.92,2,3,1,3,3,mother,yes,yes,Master
Moderate,5.1,27.4,Male,58.35,42.19,200,Yes,None,1,4.93,2,2,1,0,5,mother,yes,no,Master
Mild,15.3,68.3,Male,38.27,35.98,89.4,Yes,Minimal Support,0,4.5,3,3,2,3,6,father,yes,yes,High school
Moderate,5.3,91.1,Female,47.76,58.79,51,No,Minimal Support,0,4.78,4,5,2,3,6,mother,yes,no,None
Mild,23.2,107.6,Male,56.66,62.21,76.3,Yes,Moderate Support,0,4.63,2,3,0,1,8,father,yes,no,Degree
Severe,12.5,70.4,Male,68.92,64.08,44.2,Yes,Minimal Support,1,3.41,3,5,2,4,8,other,yes,no,High school
Mild,10.9,64.7,Male,42.42,38.6,58.1,Yes,None,0,5.28,4,3,1,4,8,mother,yes,no,Master
