Emotion,Climate,Time,Playlist
Tired & Sleepy,Rainy,Tea time,24
Aggressive,Sunny,Tea time,41
Normal,Rainy,Night,33
Tired & Sleepy,Sunny,Night,42
Normal,Cloudy,Morning,1
Tired & Sleepy,Sunny,Tea time,7
Aggressive,Rainy,Travelling time,39
Aggressive,Sunny,Tea time,43
Lazy & Nervous,Cloudy,Evening,37
Normal,Sunny,Night,34
Lazy & Nervous,Cloudy,Evening,44
Aggressive,Sunny,Tea time,16
Lazy & Nervous,Cloudy,Evening,45
Normal,Sunny,Travelling time,34
Aggressive,Cloudy,Tea time,24
Tired & Sleepy,Sunny,Tea time,7
Aggressive,Cloudy,Morning,40
Tired & Sleepy,Sunny,Tea time,42
Tired & Sleepy,Cloudy,Night,10
Tired & Sleepy,Cloudy,Tea time,36
Tired & Sleepy,Sunny,Tea time,42
Lazy & Nervous,Cloudy,Evening,44
Normal,Sunny,Night,43
Tired & Sleepy,Sunny,Morning,36
Aggressive,Sunny,Tea time,42
Tired & Sleepy,Cloudy,Evening,30
Tired & Sleepy,Rainy,Morning,7
Aggressive,Cloudy,Tea time,24
Tired & Sleepy,Cloudy,Morning,10
Lazy & Nervous,Cloudy,Tea time,14
Normal,Rainy,Travelling time,22
Tired & Sleepy,Cloudy,Evening,31
Aggressive,Cloudy,Tea time,17
Aggressive,Rainy,Tea time,16
Lazy & Nervous,Rainy,Tea time,25
Aggressive,Sunny,Morning,43
Tired & Sleepy,Cloudy,Travelling time,35
Aggressive,Cloudy,Evening,30
Tired & Sleepy,Cloudy,Night,45
Tired & Sleepy,Rainy,Morning,23
Aggressive,Sunny,Tea time,16
Normal,Rainy,Evening,34
Normal,Rainy,Tea time,2
Aggressive,Cloudy,Tea time,39
Tired & Sleepy,Rainy,Evening,35
Tired & Sleepy,Rainy,Tea time,35
Lazy & Nervous,Sunny,Tea time,13
Lazy & Nervous,Rainy,Tea time,14
Tired & Sleepy,Cloudy,Morning,9
Lazy & Nervous,Cloudy,Evening,11
Aggressive,Sunny,Tea time,40
Aggressive,Rainy,Tea time,23
Tired & Sleepy,Cloudy,Travelling time,35
Lazy & Nervous,Cloudy,Night,28
Normal,Rainy,Travelling time,32
Tired & Sleepy,Rainy,Travelling time,7
Lazy & Nervous,Rainy,Morning,23
Tired & Sleepy,Cloudy,Travelling time,32
Normal,Cloudy,Travelling time,3
Lazy & Nervous,Rainy,Night,28
Normal,Sunny,Evening,3
Tired & Sleepy,Cloudy,Evening,30
Tired & Sleepy,Rainy,Morning,22
Lazy & Nervous,Sunny,Tea time,43
Aggressive,Cloudy,Morning,16
Aggressive,Rainy,Night,19
Tired & Sleepy,Sunny,Morning,42
Tired & Sleepy,Sunny,Tea time,8
Tired & Sleepy,Rainy,Tea time,8
Normal,Cloudy,Travelling time,5
Lazy & Nervous,Rainy,Travelling time,37
Lazy & Nervous,Sunny,Evening,41
Lazy & Nervous,Sunny,Tea time,13
Aggressive,Rainy,Tea time,22
Aggressive,Sunny,Tea time,18
Tired & Sleepy,Rainy,Morning,7
Aggressive,Sunny,Evening,18
Tired & Sleepy,Sunny,Evening,9
Tired & Sleepy,Sunny,Morning,35
Lazy & Nervous,Sunny,Evening,42
Tired & Sleepy,Rainy,Tea time,10
Lazy & Nervous,Rainy,Morning,12
Lazy & Nervous,Rainy,Night,15
Lazy & Nervous,Rainy,Evening,37
Lazy & Nervous,Rainy,Morning,37
Normal,Rainy,Travelling time,3
Tired & Sleepy,Rainy,Tea time,21
Tired & Sleepy,Rainy,Evening,30
Normal,Cloudy,Morning,44
Lazy & Nervous,Cloudy,Evening,44
Tired & Sleepy,Rainy,Night,6
Tired & Sleepy,Sunny,Tea time,43
Lazy & Nervous,Cloudy,Tea time,24
Lazy & Nervous,Rainy,Tea time,11
Aggressive,Cloudy,Night,17
Aggressive,Sunny,Evening,40
Tired & Sleepy,Rainy,Travelling time,10
Tired & Sleepy,Cloudy,Tea time,8
Normal,Sunny,Morning,33
Aggressive,Rainy,Evening,40
Aggressive,Cloudy,Night,17
Tired & Sleepy,Sunny,Morning,41
Lazy & Nervous,Cloudy,Night,12
Aggressive,Rainy,Travelling time,39
Normal,Rainy,Travelling time,21
Tired & Sleepy,Sunny,Tea time,6
Tired & Sleepy,Cloudy,Evening,10
Normal,Cloudy,Tea time,34
Tired & Sleepy,Cloudy,Travelling time,6
Lazy & Nervous,Cloudy,Morning,44
Aggressive,Cloudy,Tea time,44
Tired & Sleepy,Sunny,Tea time,24
Lazy & Nervous,Sunny,Morning,43
Tired & Sleepy,Sunny,Travelling time,35
Lazy & Nervous,Cloudy,Evening,14
Lazy & Nervous,Cloudy,Evening,44
Lazy & Nervous,Rainy,Evening,37
Tired & Sleepy,Sunny,Travelling time,8
Lazy & Nervous,Sunny,Night,28
Aggressive,Sunny,Evening,42
Normal,Rainy,Tea time,2
Normal,Sunny,Night,5
Normal,Cloudy,Evening,1
Normal,Cloudy,Tea time,4
Lazy & Nervous,Sunny,Tea time,25
Normal,Cloudy,Tea time,45
Lazy & Nervous,Cloudy,Morning,13
Normal,Cloudy,Tea time,3
Lazy & Nervous,Sunny,Evening,11
Aggressive,Rainy,Evening,30
Tired & Sleepy,Cloudy,Tea time,8
Tired & Sleepy,Cloudy,Morning,7
Aggressive,Sunny,Morning,43
Normal,Sunny,Morning,4
Tired & Sleepy,Sunny,Morning,10
Lazy & Nervous,Cloudy,Evening,31
Aggressive,Cloudy,Travelling time,20
Normal,Cloudy,Night,29
Aggressive,Sunny,Morning,26
Lazy & Nervous,Rainy,Evening,13
Tired & Sleepy,Sunny,Travelling time,41
Normal,Cloudy,Tea time,34
Normal,Sunny,Evening,43
Lazy & Nervous,Sunny,Tea time,43
Aggressive,Cloudy,Travelling time,32
Lazy & Nervous,Rainy,Tea time,15
Normal,Sunny,Tea time,25
Normal,Sunny,Morning,33
Aggressive,Cloudy,Evening,17
Tired & Sleepy,Rainy,Morning,27
Aggressive,Sunny,Travelling time,43
Aggressive,Cloudy,Morning,16
Normal,Sunny,Travelling time,33
Aggressive,Rainy,Tea time,17
Aggressive,Sunny,Morning,26
Tired & Sleepy,Sunny,Morning,36
Lazy & Nervous,Rainy,Evening,11
Lazy & Nervous,Sunny,Evening,13
Tired & Sleepy,Cloudy,Tea time,25
Lazy & Nervous,Cloudy,Tea time,12
Normal,Cloudy,Travelling time,45
Lazy & Nervous,Cloudy,Night,45
Normal,Cloudy,Travelling time,3
Normal,Cloudy,Tea time,25
Aggressive,Rainy,Night,16
Aggressive,Cloudy,Tea time,25
Lazy & Nervous,Rainy,Travelling time,12
Aggressive,Sunny,Evening,40
Normal,Sunny,Travelling time,41
Lazy & Nervous,Cloudy,Tea time,44
Normal,Rainy,Morning,23
Lazy & Nervous,Rainy,Tea time,14
Lazy & Nervous,Rainy,Tea time,15
Lazy & Nervous,Rainy,Travelling time,11
Aggressive,Sunny,Evening,31
Normal,Cloudy,Travelling time,1
Tired & Sleepy,Sunny,Night,9
Tired & Sleepy,Cloudy,Evening,31
Tired & Sleepy,Cloudy,Tea time,7
Normal,Cloudy,Morning,4
Aggressive,Rainy,Tea time,25
Lazy & Nervous,Cloudy,Morning,37
Normal,Cloudy,Morning,27
Tired & Sleepy,Sunny,Evening,9
Aggressive,Sunny,Morning,41
Aggressive,Sunny,Tea time,18
Lazy & Nervous,Sunny,Travelling time,37
Aggressive,Sunny,Evening,17
Lazy & Nervous,Sunny,Tea time,13
Aggressive,Rainy,Morning,16
Lazy & Nervous,Cloudy,Morning,38
Aggressive,Sunny,Morning,16
Normal,Sunny,Evening,41
Tired & Sleepy,Sunny,Tea time,42
Aggressive,Rainy,Night,28
Tired & Sleepy,Rainy,Evening,36
Normal,Sunny,Morning,5
Normal,Cloudy,Night,4
Aggressive,Sunny,Tea time,39
Lazy & Nervous,Rainy,Travelling time,12
Aggressive,Rainy,Morning,22
Normal,Rainy,Tea time,4
Tired & Sleepy,Rainy,Night,8
Lazy & Nervous,Rainy,Travelling time,22
Aggressive,Sunny,Morning,20
Lazy & Nervous,Rainy,Travelling time,12
Tired & Sleepy,Rainy,Night,28
Normal,Sunny,Morning,34
Aggressive,Sunny,Morning,27
Normal,Rainy,Morning,4
Tired & Sleepy,Cloudy,Tea time,25
Normal,Sunny,Morning,42
Normal,Cloudy,Tea time,33
Aggressive,Sunny,Evening,31
Normal,Sunny,Morning,33
Normal,Cloudy,Tea time,1
Lazy & Nervous,Sunny,Tea time,12
Lazy & Nervous,Cloudy,Evening,30
Lazy & Nervous,Cloudy,Tea time,24
Lazy & Nervous,Sunny,Evening,42
Lazy & Nervous,Sunny,Evening,31
Aggressive,Cloudy,Morning,17
Tired & Sleepy,Rainy,Night,21
Lazy & Nervous,Cloudy,Morning,26
Normal,Sunny,Morning,2
Aggressive,Cloudy,Tea time,18
Aggressive,Sunny,Night,19
Aggressive,Rainy,Night,23
Tired & Sleepy,Cloudy,Night,10
Lazy & Nervous,Cloudy,Morning,12
Lazy & Nervous,Rainy,Tea time,15
Normal,Cloudy,Morning,1
Tired & Sleepy,Rainy,Morning,9
Normal,Cloudy,Travelling time,34
Normal,Sunny,Night,1
Aggressive,Cloudy,Night,39
Aggressive,Rainy,Evening,17
Lazy & Nervous,Cloudy,Night,15
Lazy & Nervous,Sunny,Evening,42
Normal,Cloudy,Night,1
Normal,Rainy,Morning,5
Normal,Rainy,Morning,5
Normal,Rainy,Morning,4
Tired & Sleepy,Sunny,Night,10
Tired & Sleepy,Rainy,Evening,6
Lazy & Nervous,Sunny,Night,13
Normal,Sunny,Travelling time,33
Lazy & Nervous,Sunny,Tea time,25
Aggressive,Sunny,Travelling time,19
Aggressive,Rainy,Night,39
Tired & Sleepy,Sunny,Night,35
Lazy & Nervous,Sunny,Tea time,42
Aggressive,Cloudy,Morning,18
Normal,Cloudy,Night,29
Normal,Rainy,Morning,2
Lazy & Nervous,Sunny,Travelling time,14
Aggressive,Rainy,Tea time,25
Tired & Sleepy,Cloudy,Tea time,44
Aggressive,Rainy,Tea time,22
Lazy & Nervous,Rainy,Night,21
Lazy & Nervous,Sunny,Tea time,15
Normal,Sunny,Morning,5
Lazy & Nervous,Cloudy,Morning,27
Lazy & Nervous,Sunny,Tea time,25
Lazy & Nervous,Rainy,Evening,23
Lazy & Nervous,Sunny,Tea time,41
Tired & Sleepy,Rainy,Evening,31
Tired & Sleepy,Rainy,Travelling time,9
Lazy & Nervous,Sunny,Tea time,42
Aggressive,Cloudy,Travelling time,19
Normal,Cloudy,Night,3
Normal,Rainy,Morning,21
Lazy & Nervous,Sunny,Tea time,14
Tired & Sleepy,Sunny,Evening,6
Aggressive,Rainy,Tea time,40
Tired & Sleepy,Cloudy,Evening,8
Tired & Sleepy,Rainy,Night,22
Tired & Sleepy,Sunny,Tea time,42
Aggressive,Rainy,Travelling time,20
Aggressive,Cloudy,Travelling time,40
Normal,Cloudy,Tea time,1
Tired & Sleepy,Cloudy,Evening,8
Lazy & Nervous,Sunny,Evening,14
Lazy & Nervous,Rainy,Morning,26
Lazy & Nervous,Rainy,Evening,15
Normal,Sunny,Night,33
Normal,Rainy,Evening,21
Aggressive,Cloudy,Tea time,24
Tired & Sleepy,Cloudy,Tea time,36
Aggressive,Sunny,Evening,30
Tired & Sleepy,Rainy,Evening,8
Aggressive,Cloudy,Night,20
Tired & Sleepy,Sunny,Morning,8
Tired & Sleepy,Rainy,Travelling time,35
Aggressive,Sunny,Night,39
Tired & Sleepy,Sunny,Tea time,43
Tired & Sleepy,Sunny,Morning,42
Lazy & Nervous,Sunny,Tea time,25
Normal,Rainy,Night,23
Tired & Sleepy,Sunny,Morning,41
Normal,Cloudy,Night,29
Normal,Rainy,Night,23
Normal,Sunny,Evening,41
Lazy & Nervous,Sunny,Travelling time,11
Tired & Sleepy,Cloudy,Evening,6
Normal,Rainy,Tea time,34
Normal,Cloudy,Morning,2
Lazy & Nervous,Cloudy,Tea time,15
Aggressive,Cloudy,Evening,31
Lazy & Nervous,Cloudy,Morning,14
Aggressive,Sunny,Evening,19
Aggressive,Cloudy,Night,29
Aggressive,Rainy,Evening,19
Aggressive,Cloudy,Morning,20
Aggressive,Sunny,Morning,17
Normal,Sunny,Tea time,41
Normal,Rainy,Travelling time,3
Lazy & Nervous,Sunny,Night,38
Tired & Sleepy,Cloudy,Travelling time,9
Aggressive,Rainy,Night,16
Aggressive,Rainy,Night,21
Lazy & Nervous,Cloudy,Morning,13
Normal,Cloudy,Tea time,5
Lazy & Nervous,Rainy,Morning,22
Aggressive,Sunny,Night,19
Tired & Sleepy,Sunny,Tea time,7
Lazy & Nervous,Rainy,Travelling time,38
Tired & Sleepy,Cloudy,Morning,27
Aggressive,Cloudy,Evening,20
Normal,Cloudy,Evening,30
Aggressive,Rainy,Evening,19
Tired & Sleepy,Cloudy,Morning,26
Tired & Sleepy,Cloudy,Morning,45
Lazy & Nervous,Rainy,Tea time,11
Lazy & Nervous,Rainy,Morning,21
Tired & Sleepy,Cloudy,Travelling time,9
Aggressive,Rainy,Morning,16
Lazy & Nervous,Cloudy,Morning,12
Lazy & Nervous,Rainy,Evening,31
Normal,Cloudy,Evening,33
Aggressive,Cloudy,Morning,26
Tired & Sleepy,Rainy,Evening,21
Lazy & Nervous,Cloudy,Night,29
Normal,Rainy,Morning,33
Tired & Sleepy,Sunny,Night,41
Tired & Sleepy,Rainy,Evening,8
Lazy & Nervous,Rainy,Morning,12
Normal,Cloudy,Tea time,24
Tired & Sleepy,Rainy,Night,9
Tired & Sleepy,Rainy,Night,28
Aggressive,Sunny,Travelling time,16
Tired & Sleepy,Rainy,Morning,36
Aggressive,Cloudy,Morning,39
Normal,Cloudy,Evening,44
Aggressive,Sunny,Travelling time,16
Lazy & Nervous,Rainy,Night,38
Tired & Sleepy,Cloudy,Tea time,8
Tired & Sleepy,Cloudy,Travelling time,7
Lazy & Nervous,Cloudy,Tea time,12
Normal,Rainy,Night,21
Tired & Sleepy,Cloudy,Night,6
Aggressive,Sunny,Travelling time,42
Lazy & Nervous,Cloudy,Night,38
Tired & Sleepy,Sunny,Morning,26
Lazy & Nervous,Sunny,Travelling time,37
Normal,Rainy,Morning,26
Tired & Sleepy,Cloudy,Night,7
Lazy & Nervous,Cloudy,Tea time,12
Lazy & Nervous,Cloudy,Evening,44
Normal,Sunny,Night,43
Normal,Rainy,Tea time,4
Tired & Sleepy,Cloudy,Night,35
Aggressive,Rainy,Evening,40
Aggressive,Sunny,Tea time,43
Normal,Sunny,Morning,3
Tired & Sleepy,Sunny,Evening,9
Tired & Sleepy,Sunny,Travelling time,42
Aggressive,Rainy,Night,40
Aggressive,Sunny,Evening,18
Normal,Rainy,Night,34
Lazy & Nervous,Rainy,Evening,13
Normal,Sunny,Morning,2
Lazy & Nervous,Sunny,Evening,11
Normal,Rainy,Travelling time,21
Normal,Rainy,Travelling time,22
Aggressive,Sunny,Evening,18
Normal,Cloudy,Tea time,33
Tired & Sleepy,Rainy,Tea time,36
Lazy & Nervous,Sunny,Evening,11
Lazy & Nervous,Sunny,Travelling time,13
Lazy & Nervous,Cloudy,Travelling time,13
Tired & Sleepy,Cloudy,Tea time,7
Aggressive,Rainy,Morning,39
Lazy & Nervous,Sunny,Night,15
Tired & Sleepy,Sunny,Morning,10
Lazy & Nervous,Sunny,Evening,38
Lazy & Nervous,Rainy,Night,28
Normal,Rainy,Travelling time,5
Aggressive,Cloudy,Morning,16
Tired & Sleepy,Cloudy,Night,29
Aggressive,Rainy,Evening,23
Tired & Sleepy,Sunny,Travelling time,7
Normal,Cloudy,Morning,1
Aggressive,Cloudy,Evening,20
Lazy & Nervous,Sunny,Evening,11
Tired & Sleepy,Cloudy,Evening,10
Normal,Sunny,Night,42
Tired & Sleepy,Cloudy,Travelling time,8
Aggressive,Sunny,Evening,43
Aggressive,Sunny,Tea time,16
Lazy & Nervous,Rainy,Travelling time,38
Normal,Rainy,Travelling time,2
Aggressive,Sunny,Morning,18
Lazy & Nervous,Sunny,Travelling time,42
Tired & Sleepy,Rainy,Evening,9
Lazy & Nervous,Cloudy,Evening,31
Tired & Sleepy,Sunny,Evening,30
Tired & Sleepy,Rainy,Travelling time,6
Normal,Sunny,Morning,42
Aggressive,Cloudy,Night,28
Normal,Rainy,Tea time,4
Normal,Cloudy,Night,5
Normal,Rainy,Evening,21
Normal,Rainy,Travelling time,33
Lazy & Nervous,Cloudy,Morning,26
Aggressive,Cloudy,Night,18
Tired & Sleepy,Rainy,Evening,31
Normal,Cloudy,Evening,44
Normal,Rainy,Evening,34
Aggressive,Sunny,Morning,27
Lazy & Nervous,Rainy,Morning,13
Normal,Rainy,Travelling time,33
Normal,Rainy,Evening,1
Normal,Sunny,Night,33
Lazy & Nervous,Cloudy,Tea time,14
Aggressive,Sunny,Morning,18
Lazy & Nervous,Rainy,Tea time,13
Lazy & Nervous,Cloudy,Tea time,25
Aggressive,Cloudy,Evening,39
Normal,Sunny,Evening,34
Aggressive,Sunny,Travelling time,18
Lazy & Nervous,Cloudy,Travelling time,44
Aggressive,Cloudy,Tea time,17
Tired & Sleepy,Sunny,Tea time,6
Tired & Sleepy,Rainy,Morning,27
Normal,Cloudy,Travelling time,5
Tired & Sleepy,Rainy,Morning,22
Aggressive,Rainy,Morning,39
Normal,Cloudy,Morning,44
Aggressive,Sunny,Morning,26
Tired & Sleepy,Rainy,Travelling time,7
Lazy & Nervous,Rainy,Night,38
Lazy & Nervous,Rainy,Evening,30
Tired & Sleepy,Cloudy,Morning,35
Aggressive,Rainy,Morning,19
Normal,Sunny,Evening,43
Tired & Sleepy,Cloudy,Morning,35
Normal,Rainy,Travelling time,22
Tired & Sleepy,Sunny,Night,41
Tired & Sleepy,Sunny,Night,41
Normal,Cloudy,Evening,5
Normal,Rainy,Tea time,3
Normal,Cloudy,Travelling time,3
Normal,Sunny,Night,34
Aggressive,Sunny,Tea time,20
Aggressive,Cloudy,Evening,30
Normal,Rainy,Morning,23
Aggressive,Sunny,Travelling time,18
Normal,Sunny,Night,1
Tired & Sleepy,Sunny,Travelling time,41
Aggressive,Rainy,Morning,20
Aggressive,Cloudy,Tea time,45
Tired & Sleepy,Cloudy,Night,44
Tired & Sleepy,Rainy,Tea time,7
Lazy & Nervous,Cloudy,Tea time,38
Lazy & Nervous,Rainy,Tea time,15
Aggressive,Cloudy,Evening,44
Normal,Cloudy,Evening,2
Aggressive,Sunny,Morning,39
Tired & Sleepy,Cloudy,Evening,9
Tired & Sleepy,Sunny,Tea time,7
Aggressive,Sunny,Morning,39
Normal,Cloudy,Evening,30
Normal,Cloudy,Morning,3
Aggressive,Sunny,Travelling time,17
Tired & Sleepy,Rainy,Travelling time,9
Aggressive,Cloudy,Night,29
Aggressive,Rainy,Night,28
Tired & Sleepy,Sunny,Morning,9
Aggressive,Rainy,Morning,40
Lazy & Nervous,Sunny,Morning,37
Normal,Sunny,Night,1
Normal,Rainy,Travelling time,2
Tired & Sleepy,Rainy,Evening,23
Normal,Sunny,Evening,31
Lazy & Nervous,Cloudy,Travelling time,38
Aggressive,Sunny,Tea time,16
Normal,Cloudy,Morning,44
Lazy & Nervous,Rainy,Morning,27
Normal,Cloudy,Evening,30
Normal,Rainy,Night,28
Normal,Rainy,Tea time,21
Normal,Sunny,Travelling time,4
Lazy & Nervous,Sunny,Evening,12
Lazy & Nervous,Rainy,Morning,15
Lazy & Nervous,Sunny,Night,14
Tired & Sleepy,Sunny,Tea time,9
Aggressive,Cloudy,Morning,45
Lazy & Nervous,Sunny,Travelling time,14
Tired & Sleepy,Cloudy,Night,36
Lazy & Nervous,Rainy,Travelling time,21
Lazy & Nervous,Rainy,Travelling time,12
Normal,Sunny,Evening,1
Normal,Cloudy,Travelling time,3
Lazy & Nervous,Rainy,Evening,30
Aggressive,Sunny,Tea time,19
Tired & Sleepy,Rainy,Evening,35
Lazy & Nervous,Sunny,Tea time,37
Normal,Cloudy,Travelling time,1
Normal,Rainy,Tea time,34
Tired & Sleepy,Rainy,Evening,30
Aggressive,Rainy,Night,28
Lazy & Nervous,Sunny,Tea time,42
Lazy & Nervous,Rainy,Tea time,24
Tired & Sleepy,Rainy,Tea time,9
Normal,Rainy,Morning,3
Normal,Cloudy,Morning,5
Lazy & Nervous,Rainy,Travelling time,38
Normal,Rainy,Tea time,21
Aggressive,Sunny,Morning,41
Tired & Sleepy,Cloudy,Night,45
Normal,Sunny,Night,5
Lazy & Nervous,Cloudy,Tea time,12
Tired & Sleepy,Rainy,Tea time,25
Tired & Sleepy,Sunny,Travelling time,43
Tired & Sleepy,Sunny,Evening,7
Lazy & Nervous,Cloudy,Tea time,13
Tired & Sleepy,Sunny,Night,9
Tired & Sleepy,Sunny,Travelling time,8
Tired & Sleepy,Cloudy,Evening,9
Aggressive,Rainy,Travelling time,16
Tired & Sleepy,Sunny,Morning,41
Normal,Sunny,Morning,4
Aggressive,Rainy,Evening,23
Aggressive,Cloudy,Morning,44
Lazy & Nervous,Sunny,Travelling time,38
Aggressive,Sunny,Morning,20
Tired & Sleepy,Cloudy,Morning,9
Lazy & Nervous,Rainy,Evening,37
Normal,Sunny,Evening,5
Aggressive,Sunny,Morning,42
Lazy & Nervous,Sunny,Travelling time,15
Tired & Sleepy,Rainy,Travelling time,36
Aggressive,Rainy,Travelling time,20
Tired & Sleepy,Rainy,Morning,9
Lazy & Nervous,Sunny,Tea time,38
Tired & Sleepy,Rainy,Morning,27
Lazy & Nervous,Sunny,Tea time,12
Aggressive,Rainy,Evening,20
Aggressive,Cloudy,Tea time,45
Aggressive,Cloudy,Tea time,17
Tired & Sleepy,Rainy,Travelling time,6
Tired & Sleepy,Sunny,Evening,8
Aggressive,Rainy,Morning,19
Aggressive,Sunny,Tea time,42
Lazy & Nervous,Sunny,Evening,37
Lazy & Nervous,Cloudy,Tea time,38
Normal,Rainy,Travelling time,23
Aggressive,Rainy,Travelling time,22
Normal,Cloudy,Morning,26
Aggressive,Rainy,Evening,16
Normal,Sunny,Morning,26
Normal,Cloudy,Tea time,4
Tired & Sleepy,Rainy,Morning,27
Normal,Sunny,Evening,34
Tired & Sleepy,Cloudy,Morning,7
Tired & Sleepy,Rainy,Morning,21
Normal,Sunny,Tea time,2
Lazy & Nervous,Sunny,Morning,26
Aggressive,Rainy,Travelling time,22
Aggressive,Sunny,Travelling time,41
Normal,Cloudy,Night,45
Tired & Sleepy,Cloudy,Morning,26
Lazy & Nervous,Cloudy,Night,29
Aggressive,Cloudy,Tea time,25
Lazy & Nervous,Rainy,Night,14
Normal,Sunny,Tea time,24
Normal,Rainy,Travelling time,4
Tired & Sleepy,Rainy,Morning,36
Normal,Sunny,Morning,41
Normal,Sunny,Night,29
Tired & Sleepy,Sunny,Tea time,8
Aggressive,Cloudy,Tea time,17
Normal,Cloudy,Evening,2
Aggressive,Sunny,Night,42
Normal,Rainy,Morning,5
Tired & Sleepy,Cloudy,Night,35
Normal,Rainy,Morning,33
Tired & Sleepy,Sunny,Travelling time,43
Normal,Cloudy,Travelling time,5
Lazy & Nervous,Rainy,Night,15
Aggressive,Rainy,Night,19
Normal,Sunny,Tea time,3
Aggressive,Sunny,Night,40
Aggressive,Rainy,Evening,31
Normal,Sunny,Evening,1
Lazy & Nervous,Rainy,Travelling time,21
Normal,Rainy,Morning,2
Tired & Sleepy,Cloudy,Evening,6
Aggressive,Sunny,Evening,17
Lazy & Nervous,Sunny,Morning,37
Lazy & Nervous,Cloudy,Travelling time,15
Lazy & Nervous,Cloudy,Travelling time,44
Aggressive,Sunny,Morning,20
Normal,Rainy,Evening,5
Normal,Rainy,Travelling time,22
Aggressive,Rainy,Evening,21
Lazy & Nervous,Cloudy,Night,44
Normal,Cloudy,Evening,5
Tired & Sleepy,Rainy,Morning,23
Normal,Sunny,Morning,43
Lazy & Nervous,Sunny,Travelling time,12
Lazy & Nervous,Rainy,Night,29
Normal,Rainy,Evening,22
Tired & Sleepy,Sunny,Morning,7
Lazy & Nervous,Rainy,Travelling time,13
Normal,Sunny,Night,34
Lazy & Nervous,Rainy,Night,13
Aggressive,Rainy,Night,16
Aggressive,Cloudy,Morning,19
Aggressive,Rainy,Travelling time,39
Normal,Sunny,Travelling time,2
Tired & Sleepy,Cloudy,Night,35
Lazy & Nervous,Cloudy,Evening,31
Aggressive,Rainy,Tea time,19
Aggressive,Sunny,Morning,40
Lazy & Nervous,Rainy,Night,21
Normal,Sunny,Morning,1
Normal,Cloudy,Night,44
Lazy & Nervous,Sunny,Tea time,43
Normal,Rainy,Evening,22
Normal,Rainy,Night,1
Lazy & Nervous,Cloudy,Travelling time,14
Aggressive,Cloudy,Travelling time,19
Aggressive,Rainy,Tea time,40
Tired & Sleepy,Cloudy,Travelling time,36
Aggressive,Sunny,Morning,20
Tired & Sleepy,Sunny,Evening,6
Lazy & Nervous,Rainy,Travelling time,15
Lazy & Nervous,Rainy,Travelling time,21
Lazy & Nervous,Sunny,Tea time,42
Lazy & Nervous,Sunny,Evening,13
Lazy & Nervous,Cloudy,Evening,37
Tired & Sleepy,Rainy,Night,29
Lazy & Nervous,Rainy,Morning,12
Normal,Sunny,Night,5
Normal,Rainy,Tea time,3
Lazy & Nervous,Cloudy,Morning,12
Normal,Cloudy,Evening,44
Tired & Sleepy,Sunny,Tea time,8
Tired & Sleepy,Rainy,Night,29
Lazy & Nervous,Rainy,Travelling time,32
Lazy & Nervous,Rainy,Night,21
Tired & Sleepy,Cloudy,Tea time,7
Tired & Sleepy,Sunny,Travelling time,6
Tired & Sleepy,Rainy,Travelling time,32
Normal,Cloudy,Tea time,3
Lazy & Nervous,Cloudy,Night,12
Lazy & Nervous,Cloudy,Night,12
Aggressive,Cloudy,Night,40
Lazy & Nervous,Sunny,Travelling time,38
Normal,Rainy,Travelling time,21
Aggressive,Sunny,Evening,19
Lazy & Nervous,Rainy,Travelling time,22
Tired & Sleepy,Rainy,Travelling time,21
Aggressive,Sunny,Travelling time,32
Normal,Cloudy,Tea time,24
Normal,Sunny,Travelling time,41
Tired & Sleepy,Sunny,Morning,10
Lazy & Nervous,Rainy,Evening,15
Lazy & Nervous,Sunny,Night,41
Lazy & Nervous,Rainy,Morning,21
Tired & Sleepy,Rainy,Tea time,8
Aggressive,Rainy,Tea time,21
Aggressive,Sunny,Travelling time,16
Tired & Sleepy,Rainy,Morning,8
Lazy & Nervous,Sunny,Tea time,37
Aggressive,Rainy,Morning,16
Lazy & Nervous,Rainy,Evening,31
Lazy & Nervous,Cloudy,Evening,44
Lazy & Nervous,Sunny,Morning,11
Lazy & Nervous,Rainy,Evening,11
Lazy & Nervous,Sunny,Night,37
Normal,Rainy,Night,29
Tired & Sleepy,Rainy,Evening,35
Aggressive,Cloudy,Morning,16
Aggressive,Rainy,Evening,21
Aggressive,Sunny,Tea time,17
Tired & Sleepy,Cloudy,Travelling time,45
Aggressive,Sunny,Evening,41
Normal,Cloudy,Evening,33
Aggressive,Cloudy,Tea time,39
Tired & Sleepy,Cloudy,Travelling time,32
Aggressive,Sunny,Evening,16
Lazy & Nervous,Rainy,Tea time,38
Aggressive,Rainy,Evening,23
Lazy & Nervous,Sunny,Morning,13
Tired & Sleepy,Cloudy,Tea time,44
Normal,Cloudy,Night,29
Lazy & Nervous,Rainy,Evening,31
Normal,Cloudy,Tea time,44
Aggressive,Rainy,Evening,19
Lazy & Nervous,Rainy,Evening,14
Lazy & Nervous,Sunny,Morning,27
Normal,Rainy,Morning,27
Normal,Rainy,Evening,4
Aggressive,Sunny,Night,18
Normal,Sunny,Tea time,43
Aggressive,Cloudy,Night,16
Lazy & Nervous,Rainy,Night,29
Lazy & Nervous,Sunny,Tea time,41
Lazy & Nervous,Sunny,Tea time,14
Lazy & Nervous,Sunny,Night,38
Lazy & Nervous,Cloudy,Travelling time,12
Tired & Sleepy,Cloudy,Tea time,10
