Emotion,Time,Weather,Tempo_Min,Tempo_Max,Valence_Min,Valence_Max,Energy_Min,Energy_Max,Language,Playlist size,Playlist,Final Playlist
Lazy,Night,Sunny,100,120,0.66,0.7,0.5,0.6,Hindi,4,10,2
Neutral,Night,Sunny,90,110,0.5,0.65,0.5,0.6,Hindi,3,13,14
Neutral,Evening,Sunny,90,110,0.5,0.65,0.5,0.6,Hindi,4,14,12
Neutral,Morning,Sunny,90,110,0.5,0.65,0.5,0.6,Sinhala,3,16,10
Aggressive,Night,Sunny,70,100,0.45,0.6,0.4,0.55,English,5,7,6
Lazy,Evening,Rainy,100,120,0.66,0.7,0.5,0.6,Hindi,3,11,19
Aggressive,Morning,Sunny,70,100,0.45,0.6,0.4,0.55,Hindi,5,7,2
Nervous,Night,Sunny,60,90,0.5,0.65,0.4,0.55,Hindi,4,3,10
Lazy,Evening,Sunny,100,120,0.66,0.7,0.5,0.6,Hindi,3,11,20
Nervous,Morning,Sunny,60,90,0.5,0.65,0.4,0.55,English,4,3,6
Aggressive,Evening,Sunny,70,100,0.45,0.6,0.4,0.55,Hindi,3,8,4
Nervous,Evening,Sunny,60,90,0.5,0.65,0.4,0.55,Hindi,4,3,8
Aggressive,Morning,Sunny,70,100,0.45,0.6,0.4,0.55,English,2,5,2
Aggressive,Evening,Sunny,70,100,0.45,0.6,0.4,0.55,Hindi,3,8,4
Neutral,Night,Sunny,90,110,0.5,0.65,0.5,0.6,Sinhala,3,16,14
Lazy,Night,Rainy,100,120,0.66,0.7,0.5,0.6,Hindi,3,11,1
Aggressive,Evening,Rainy,70,100,0.45,0.6,0.4,0.55,Hindi,4,6,3
Lazy,Night,Sunny,100,120,0.66,0.7,0.5,0.6,Hindi,3,9,2
Neutral,Night,Sunny,90,110,0.5,0.65,0.5,0.6,English,3,16,14
Neutral,Evening,Sunny,90,110,0.5,0.65,0.5,0.6,Sinhala,3,13,12
Aggressive,Evening,Sunny,70,100,0.45,0.6,0.4,0.55,Hindi,3,8,4
Nervous,Morning,Rainy,60,90,0.5,0.65,0.4,0.55,English,5,2,5
Aggressive,Study,Rainy,70,100,0.45,0.6,0.4,0.55,English,2,5,7
Lazy,Morning,Sunny,100,120,0.66,0.7,0.5,0.6,Hindi,3,11,18
Aggressive,Night,Sunny,70,100,0.45,0.6,0.4,0.55,English,3,8,6
Aggressive,Night,Rainy,70,100,0.45,0.6,0.4,0.55,Hindi,4,6,5
Nervous,Morning,Rainy,60,90,0.5,0.65,0.4,0.55,Hindi,5,1,5
Aggressive,Morning,Sunny,70,100,0.45,0.6,0.4,0.55,English,5,7,2
Neutral,Night,Rainy,90,110,0.5,0.65,0.5,0.6,Hindi,4,14,13
Lazy,Morning,Rainy,100,120,0.66,0.7,0.5,0.6,Sinhala,3,9,17
Lazy,Evening,Sunny,100,120,0.66,0.7,0.5,0.6,Sinhala,4,10,20
Nervous,Evening,Rainy,60,90,0.5,0.65,0.4,0.55,Sinhala,4,4,7
Nervous,Morning,Rainy,60,90,0.5,0.65,0.4,0.55,English,5,2,5
Nervous,Study,Rainy,60,90,0.5,0.65,0.4,0.55,English,5,2,11
Lazy,Study,Sunny,100,120,0.66,0.7,0.5,0.6,Sinhala,3,11,4
Neutral,Morning,Rainy,90,110,0.5,0.65,0.5,0.6,English,3,13,9
Neutral,Morning,Rainy,90,110,0.5,0.65,0.5,0.6,Sinhala,4,15,9
Nervous,Night,Rainy,60,90,0.5,0.65,0.4,0.55,Sinhala,5,1,9
Aggressive,Night,Sunny,70,100,0.45,0.6,0.4,0.55,Hindi,3,8,6
Nervous,Morning,Sunny,60,90,0.5,0.65,0.4,0.55,English,5,1,6
Nervous,Study,Sunny,60,90,0.5,0.65,0.4,0.55,Hindi,5,2,12
Lazy,Evening,Sunny,100,120,0.66,0.7,0.5,0.6,Hindi,4,12,20
Lazy,Study,Rainy,100,120,0.66,0.7,0.5,0.6,Sinhala,3,11,3
Nervous,Study,Sunny,60,90,0.5,0.65,0.4,0.55,Sinhala,4,4,12
Lazy,Morning,Rainy,100,120,0.66,0.7,0.5,0.6,Hindi,3,9,17
Neutral,Morning,Rainy,90,110,0.5,0.65,0.5,0.6,Hindi,3,13,9
Neutral,Evening,Sunny,90,110,0.5,0.65,0.5,0.6,Hindi,4,15,12
Aggressive,Night,Rainy,70,100,0.45,0.6,0.4,0.55,English,2,5,5
Nervous,Study,Sunny,60,90,0.5,0.65,0.4,0.55,Sinhala,5,1,12
Nervous,Night,Rainy,60,90,0.5,0.65,0.4,0.55,Hindi,5,2,9
Lazy,Evening,Sunny,100,120,0.66,0.7,0.5,0.6,Sinhala,4,12,20
Aggressive,Morning,Rainy,70,100,0.45,0.6,0.4,0.55,English,2,5,1
Nervous,Night,Sunny,60,90,0.5,0.65,0.4,0.55,Hindi,4,4,10
Lazy,Study,Sunny,100,120,0.66,0.7,0.5,0.6,English,3,9,4
Nervous,Study,Sunny,60,90,0.5,0.65,0.4,0.55,Sinhala,4,3,12
Neutral,Night,Sunny,90,110,0.5,0.65,0.5,0.6,Hindi,3,16,14
Nervous,Evening,Sunny,60,90,0.5,0.65,0.4,0.55,Sinhala,4,4,8
Neutral,Night,Rainy,90,110,0.5,0.65,0.5,0.6,Hindi,3,13,13
Neutral,Night,Rainy,90,110,0.5,0.65,0.5,0.6,Hindi,4,14,13
Nervous,Morning,Rainy,60,90,0.5,0.65,0.4,0.55,English,4,3,5
Lazy,Night,Rainy,100,120,0.66,0.7,0.5,0.6,English,3,11,1
Lazy,Evening,Rainy,100,120,0.66,0.7,0.5,0.6,Hindi,4,10,19
Nervous,Study,Rainy,60,90,0.5,0.65,0.4,0.55,English,5,2,11
Aggressive,Evening,Rainy,70,100,0.45,0.6,0.4,0.55,English,2,5,3
Nervous,Night,Sunny,60,90,0.5,0.65,0.4,0.55,English,4,4,10
Aggressive,Evening,Rainy,70,100,0.45,0.6,0.4,0.55,Sinhala,3,8,3
Nervous,Morning,Rainy,60,90,0.5,0.65,0.4,0.55,Sinhala,4,4,5
Aggressive,Study,Rainy,70,100,0.45,0.6,0.4,0.55,Sinhala,3,8,7
Neutral,Evening,Sunny,90,110,0.5,0.65,0.5,0.6,English,4,15,12
Neutral,Night,Sunny,90,110,0.5,0.65,0.5,0.6,English,4,15,14
Aggressive,Study,Sunny,70,100,0.45,0.6,0.4,0.55,English,3,8,8
Aggressive,Study,Sunny,70,100,0.45,0.6,0.4,0.55,Hindi,4,6,8
Neutral,Night,Sunny,90,110,0.5,0.65,0.5,0.6,English,3,13,14
Nervous,Study,Rainy,60,90,0.5,0.65,0.4,0.55,English,4,4,11
Neutral,Morning,Sunny,90,110,0.5,0.65,0.5,0.6,Hindi,4,14,10
Nervous,Study,Rainy,60,90,0.5,0.65,0.4,0.55,Sinhala,4,4,11
Neutral,Morning,Rainy,90,110,0.5,0.65,0.5,0.6,Sinhala,3,13,9
Lazy,Morning,Rainy,100,120,0.66,0.7,0.5,0.6,Sinhala,3,11,17
Neutral,Study,Sunny,90,110,0.5,0.65,0.5,0.6,English,3,13,16
Nervous,Evening,Sunny,60,90,0.5,0.65,0.4,0.55,English,5,1,8
Aggressive,Study,Sunny,70,100,0.45,0.6,0.4,0.55,Hindi,3,8,8
Lazy,Evening,Sunny,100,120,0.66,0.7,0.5,0.6,Hindi,4,12,20
Aggressive,Evening,Sunny,70,100,0.45,0.6,0.4,0.55,Hindi,4,6,4
Neutral,Morning,Rainy,90,110,0.5,0.65,0.5,0.6,Sinhala,3,16,9
Neutral,Evening,Rainy,90,110,0.5,0.65,0.5,0.6,Sinhala,3,13,11
Aggressive,Morning,Rainy,70,100,0.45,0.6,0.4,0.55,Hindi,4,6,1
Neutral,Study,Rainy,90,110,0.5,0.65,0.5,0.6,Hindi,4,14,15
Aggressive,Night,Rainy,70,100,0.45,0.6,0.4,0.55,Hindi,3,8,5
Aggressive,Morning,Sunny,70,100,0.45,0.6,0.4,0.55,Hindi,3,8,2
Lazy,Night,Sunny,100,120,0.66,0.7,0.5,0.6,English,4,12,2
Neutral,Morning,Rainy,90,110,0.5,0.65,0.5,0.6,Hindi,3,13,9
Neutral,Night,Rainy,90,110,0.5,0.65,0.5,0.6,Hindi,4,14,13
Nervous,Evening,Sunny,60,90,0.5,0.65,0.4,0.55,Sinhala,4,4,8
Lazy,Night,Rainy,100,120,0.66,0.7,0.5,0.6,Sinhala,3,11,1
Aggressive,Night,Rainy,70,100,0.45,0.6,0.4,0.55,Hindi,3,8,5
Aggressive,Night,Rainy,70,100,0.45,0.6,0.4,0.55,Sinhala,2,5,5
Nervous,Study,Rainy,60,90,0.5,0.65,0.4,0.55,Sinhala,4,3,11
Neutral,Evening,Sunny,90,110,0.5,0.65,0.5,0.6,Hindi,3,16,12
Nervous,Morning,Rainy,60,90,0.5,0.65,0.4,0.55,English,5,1,5
Neutral,Night,Rainy,90,110,0.5,0.65,0.5,0.6,Sinhala,4,15,13
Lazy,Morning,Rainy,100,120,0.66,0.7,0.5,0.6,Sinhala,4,10,17
Neutral,Evening,Rainy,90,110,0.5,0.65,0.5,0.6,Sinhala,4,15,11
Aggressive,Morning,Sunny,70,100,0.45,0.6,0.4,0.55,English,5,7,2
Aggressive,Night,Sunny,70,100,0.45,0.6,0.4,0.55,English,2,5,6
Aggressive,Night,Sunny,70,100,0.45,0.6,0.4,0.55,Hindi,3,8,6
Nervous,Night,Rainy,60,90,0.5,0.65,0.4,0.55,Sinhala,5,2,9
Neutral,Night,Sunny,90,110,0.5,0.65,0.5,0.6,Sinhala,4,14,14
Nervous,Evening,Sunny,60,90,0.5,0.65,0.4,0.55,English,4,3,8
Lazy,Study,Rainy,100,120,0.66,0.7,0.5,0.6,Hindi,3,11,3
Neutral,Night,Sunny,90,110,0.5,0.65,0.5,0.6,Sinhala,4,14,14
Aggressive,Night,Sunny,70,100,0.45,0.6,0.4,0.55,Hindi,5,7,6
Lazy,Study,Rainy,100,120,0.66,0.7,0.5,0.6,Sinhala,4,12,3
Aggressive,Study,Sunny,70,100,0.45,0.6,0.4,0.55,English,2,5,8
Aggressive,Study,Sunny,70,100,0.45,0.6,0.4,0.55,Hindi,3,8,8
Aggressive,Night,Sunny,70,100,0.45,0.6,0.4,0.55,Hindi,2,5,6
Aggressive,Night,Rainy,70,100,0.45,0.6,0.4,0.55,English,5,7,5
Nervous,Night,Sunny,60,90,0.5,0.65,0.4,0.55,Sinhala,5,1,10
Nervous,Evening,Sunny,60,90,0.5,0.65,0.4,0.55,English,4,3,8
Lazy,Night,Sunny,100,120,0.66,0.7,0.5,0.6,Sinhala,3,9,2
Lazy,Night,Rainy,100,120,0.66,0.7,0.5,0.6,English,3,11,1
Aggressive,Morning,Sunny,70,100,0.45,0.6,0.4,0.55,Sinhala,5,7,2
Aggressive,Evening,Rainy,70,100,0.45,0.6,0.4,0.55,English,5,7,3
Aggressive,Night,Rainy,70,100,0.45,0.6,0.4,0.55,Sinhala,2,5,5
Nervous,Night,Sunny,60,90,0.5,0.65,0.4,0.55,Hindi,5,1,10
Lazy,Morning,Rainy,100,120,0.66,0.7,0.5,0.6,Sinhala,4,12,17
Nervous,Morning,Rainy,60,90,0.5,0.65,0.4,0.55,Hindi,4,3,5
Neutral,Morning,Sunny,90,110,0.5,0.65,0.5,0.6,Hindi,3,16,10
Nervous,Night,Rainy,60,90,0.5,0.65,0.4,0.55,Hindi,4,4,9
Neutral,Night,Sunny,90,110,0.5,0.65,0.5,0.6,Hindi,4,15,14
Lazy,Evening,Rainy,100,120,0.66,0.7,0.5,0.6,Hindi,4,10,19
Aggressive,Night,Sunny,70,100,0.45,0.6,0.4,0.55,Hindi,2,5,6
Neutral,Morning,Rainy,90,110,0.5,0.65,0.5,0.6,Hindi,3,16,9
Neutral,Evening,Rainy,90,110,0.5,0.65,0.5,0.6,English,3,13,11
Lazy,Morning,Sunny,100,120,0.66,0.7,0.5,0.6,Hindi,3,9,18
Aggressive,Study,Sunny,70,100,0.45,0.6,0.4,0.55,Sinhala,5,7,8
Aggressive,Evening,Rainy,70,100,0.45,0.6,0.4,0.55,Sinhala,3,8,3
Neutral,Morning,Rainy,90,110,0.5,0.65,0.5,0.6,English,4,15,9
Lazy,Night,Sunny,100,120,0.66,0.7,0.5,0.6,Hindi,4,12,2
Neutral,Night,Rainy,90,110,0.5,0.65,0.5,0.6,Hindi,4,15,13
Lazy,Morning,Sunny,100,120,0.66,0.7,0.5,0.6,Sinhala,4,10,18
Nervous,Morning,Rainy,60,90,0.5,0.65,0.4,0.55,Sinhala,4,3,5
Neutral,Evening,Sunny,90,110,0.5,0.65,0.5,0.6,Hindi,3,13,12
Lazy,Night,Sunny,100,120,0.66,0.7,0.5,0.6,Sinhala,4,10,2
Lazy,Night,Rainy,100,120,0.66,0.7,0.5,0.6,English,4,12,1
Nervous,Night,Rainy,60,90,0.5,0.65,0.4,0.55,Hindi,5,1,9
Aggressive,Night,Sunny,70,100,0.45,0.6,0.4,0.55,Hindi,4,6,6
Aggressive,Night,Rainy,70,100,0.45,0.6,0.4,0.55,Sinhala,5,7,5
Neutral,Evening,Rainy,90,110,0.5,0.65,0.5,0.6,English,3,16,11
Lazy,Evening,Sunny,100,120,0.66,0.7,0.5,0.6,Hindi,4,12,20
Lazy,Night,Rainy,100,120,0.66,0.7,0.5,0.6,Sinhala,3,9,1
Aggressive,Evening,Rainy,70,100,0.45,0.6,0.4,0.55,English,5,7,3
Nervous,Evening,Sunny,60,90,0.5,0.65,0.4,0.55,Sinhala,4,3,8
Lazy,Study,Rainy,100,120,0.66,0.7,0.5,0.6,Hindi,4,12,3
Neutral,Study,Sunny,90,110,0.5,0.65,0.5,0.6,English,3,13,16
Lazy,Study,Sunny,100,120,0.66,0.7,0.5,0.6,Hindi,3,9,4
Neutral,Evening,Sunny,90,110,0.5,0.65,0.5,0.6,English,4,15,12
Lazy,Morning,Rainy,100,120,0.66,0.7,0.5,0.6,English,4,12,17
Neutral,Night,Sunny,90,110,0.5,0.65,0.5,0.6,Sinhala,3,13,14
Neutral,Morning,Sunny,90,110,0.5,0.65,0.5,0.6,Sinhala,3,16,10
Neutral,Morning,Sunny,90,110,0.5,0.65,0.5,0.6,Sinhala,3,13,10
Lazy,Night,Rainy,100,120,0.66,0.7,0.5,0.6,Hindi,3,9,1
Lazy,Morning,Sunny,100,120,0.66,0.7,0.5,0.6,Sinhala,4,10,18
Neutral,Study,Rainy,90,110,0.5,0.65,0.5,0.6,English,3,13,15
Neutral,Evening,Rainy,90,110,0.5,0.65,0.5,0.6,Sinhala,4,14,11
Nervous,Evening,Sunny,60,90,0.5,0.65,0.4,0.55,Hindi,4,4,8
Lazy,Night,Rainy,100,120,0.66,0.7,0.5,0.6,Hindi,4,10,1
Lazy,Night,Rainy,100,120,0.66,0.7,0.5,0.6,Sinhala,3,9,1
Neutral,Morning,Sunny,90,110,0.5,0.65,0.5,0.6,Hindi,3,13,10
Neutral,Night,Rainy,90,110,0.5,0.65,0.5,0.6,Hindi,4,14,13
Lazy,Night,Sunny,100,120,0.66,0.7,0.5,0.6,English,3,11,2
Nervous,Night,Rainy,60,90,0.5,0.65,0.4,0.55,English,4,4,9
Nervous,Evening,Rainy,60,90,0.5,0.65,0.4,0.55,Hindi,4,4,7
Lazy,Morning,Rainy,100,120,0.66,0.7,0.5,0.6,Hindi,4,12,17
Aggressive,Night,Rainy,70,100,0.45,0.6,0.4,0.55,English,4,6,5
Aggressive,Study,Sunny,70,100,0.45,0.6,0.4,0.55,English,4,6,8
Neutral,Evening,Sunny,90,110,0.5,0.65,0.5,0.6,Hindi,3,13,12
Lazy,Morning,Sunny,100,120,0.66,0.7,0.5,0.6,Sinhala,3,9,18
Lazy,Night,Rainy,100,120,0.66,0.7,0.5,0.6,Sinhala,3,11,1
Neutral,Evening,Rainy,90,110,0.5,0.65,0.5,0.6,English,3,16,11
Aggressive,Night,Rainy,70,100,0.45,0.6,0.4,0.55,Hindi,5,7,5
Nervous,Night,Sunny,60,90,0.5,0.65,0.4,0.55,English,4,3,10
Nervous,Night,Sunny,60,90,0.5,0.65,0.4,0.55,English,4,4,10
Aggressive,Morning,Sunny,70,100,0.45,0.6,0.4,0.55,Hindi,2,5,2
Aggressive,Morning,Rainy,70,100,0.45,0.6,0.4,0.55,Hindi,5,7,1
Nervous,Evening,Sunny,60,90,0.5,0.65,0.4,0.55,Sinhala,5,2,8
Nervous,Morning,Rainy,60,90,0.5,0.65,0.4,0.55,Hindi,4,3,5
Aggressive,Morning,Rainy,70,100,0.45,0.6,0.4,0.55,English,2,5,1
Neutral,Night,Rainy,90,110,0.5,0.65,0.5,0.6,Sinhala,3,13,13
Lazy,Morning,Rainy,100,120,0.66,0.7,0.5,0.6,Hindi,3,11,17
Neutral,Study,Rainy,90,110,0.5,0.65,0.5,0.6,English,3,13,15
Neutral,Evening,Sunny,90,110,0.5,0.65,0.5,0.6,Sinhala,4,15,12
Lazy,Study,Rainy,100,120,0.66,0.7,0.5,0.6,English,4,12,3
Neutral,Study,Rainy,90,110,0.5,0.65,0.5,0.6,Sinhala,4,15,15
Lazy,Night,Rainy,100,120,0.66,0.7,0.5,0.6,Sinhala,3,9,1
Nervous,Study,Sunny,60,90,0.5,0.65,0.4,0.55,Hindi,4,3,12
Lazy,Morning,Rainy,100,120,0.66,0.7,0.5,0.6,Hindi,4,10,17
Aggressive,Evening,Sunny,70,100,0.45,0.6,0.4,0.55,Sinhala,2,5,4
Aggressive,Morning,Rainy,70,100,0.45,0.6,0.4,0.55,English,5,7,1
Aggressive,Night,Sunny,70,100,0.45,0.6,0.4,0.55,English,3,8,6
Aggressive,Study,Sunny,70,100,0.45,0.6,0.4,0.55,English,4,6,8
Nervous,Night,Sunny,60,90,0.5,0.65,0.4,0.55,Hindi,4,4,10
Neutral,Study,Rainy,90,110,0.5,0.65,0.5,0.6,Sinhala,3,13,15
Nervous,Night,Rainy,60,90,0.5,0.65,0.4,0.55,Sinhala,5,1,9
Neutral,Night,Sunny,90,110,0.5,0.65,0.5,0.6,Hindi,4,14,14
Aggressive,Evening,Sunny,70,100,0.45,0.6,0.4,0.55,Sinhala,5,7,4
Aggressive,Study,Sunny,70,100,0.45,0.6,0.4,0.55,Hindi,4,6,8
Aggressive,Morning,Rainy,70,100,0.45,0.6,0.4,0.55,Sinhala,3,8,1
Neutral,Night,Rainy,90,110,0.5,0.65,0.5,0.6,English,3,16,13
Neutral,Evening,Sunny,90,110,0.5,0.65,0.5,0.6,Hindi,3,16,12
Lazy,Night,Sunny,100,120,0.66,0.7,0.5,0.6,English,3,9,2
Lazy,Night,Rainy,100,120,0.66,0.7,0.5,0.6,Sinhala,4,12,1
Lazy,Study,Rainy,100,120,0.66,0.7,0.5,0.6,Hindi,3,11,3
Neutral,Night,Sunny,90,110,0.5,0.65,0.5,0.6,Sinhala,4,15,14
Neutral,Morning,Sunny,90,110,0.5,0.65,0.5,0.6,Hindi,3,13,10
Lazy,Study,Rainy,100,120,0.66,0.7,0.5,0.6,Sinhala,3,9,3
Lazy,Study,Sunny,100,120,0.66,0.7,0.5,0.6,English,4,12,4
Neutral,Evening,Rainy,90,110,0.5,0.65,0.5,0.6,Sinhala,3,16,11
Lazy,Evening,Rainy,100,120,0.66,0.7,0.5,0.6,Hindi,4,12,19
Neutral,Evening,Rainy,90,110,0.5,0.65,0.5,0.6,English,4,14,11
Aggressive,Morning,Sunny,70,100,0.45,0.6,0.4,0.55,English,4,6,2
Lazy,Evening,Rainy,100,120,0.66,0.7,0.5,0.6,English,4,10,19
Nervous,Morning,Sunny,60,90,0.5,0.65,0.4,0.55,Sinhala,4,4,6
Aggressive,Morning,Rainy,70,100,0.45,0.6,0.4,0.55,English,4,6,1
Nervous,Night,Rainy,60,90,0.5,0.65,0.4,0.55,Hindi,4,3,9
Aggressive,Study,Sunny,70,100,0.45,0.6,0.4,0.55,Hindi,3,8,8
Lazy,Morning,Rainy,100,120,0.66,0.7,0.5,0.6,Sinhala,4,12,17
Neutral,Morning,Sunny,90,110,0.5,0.65,0.5,0.6,Sinhala,4,15,10
Neutral,Study,Sunny,90,110,0.5,0.65,0.5,0.6,English,4,15,16
Nervous,Night,Rainy,60,90,0.5,0.65,0.4,0.55,Hindi,5,1,9
Lazy,Evening,Sunny,100,120,0.66,0.7,0.5,0.6,Hindi,4,12,20
Neutral,Night,Rainy,90,110,0.5,0.65,0.5,0.6,English,3,13,13
Neutral,Night,Rainy,90,110,0.5,0.65,0.5,0.6,Hindi,3,13,13
Nervous,Morning,Rainy,60,90,0.5,0.65,0.4,0.55,Hindi,4,4,5
Nervous,Morning,Sunny,60,90,0.5,0.65,0.4,0.55,Hindi,4,4,6
Neutral,Morning,Rainy,90,110,0.5,0.65,0.5,0.6,Hindi,3,16,9
Nervous,Night,Sunny,60,90,0.5,0.65,0.4,0.55,Hindi,5,2,10
Neutral,Night,Rainy,90,110,0.5,0.65,0.5,0.6,Hindi,3,16,13
Neutral,Study,Sunny,90,110,0.5,0.65,0.5,0.6,English,4,14,16
Nervous,Study,Sunny,60,90,0.5,0.65,0.4,0.55,Sinhala,5,2,12
Nervous,Study,Rainy,60,90,0.5,0.65,0.4,0.55,English,5,2,11
Aggressive,Evening,Sunny,70,100,0.45,0.6,0.4,0.55,Sinhala,5,7,4
Neutral,Night,Sunny,90,110,0.5,0.65,0.5,0.6,Sinhala,3,16,14
Neutral,Evening,Sunny,90,110,0.5,0.65,0.5,0.6,Hindi,4,15,12
Lazy,Morning,Rainy,100,120,0.66,0.7,0.5,0.6,Sinhala,3,9,17
Neutral,Evening,Rainy,90,110,0.5,0.65,0.5,0.6,Hindi,3,13,11
Nervous,Evening,Sunny,60,90,0.5,0.65,0.4,0.55,English,4,4,8
Lazy,Study,Sunny,100,120,0.66,0.7,0.5,0.6,Sinhala,4,10,4
Neutral,Night,Sunny,90,110,0.5,0.65,0.5,0.6,Sinhala,3,16,14
Aggressive,Morning,Rainy,70,100,0.45,0.6,0.4,0.55,English,3,8,1
Lazy,Study,Sunny,100,120,0.66,0.7,0.5,0.6,Hindi,4,12,4
Neutral,Evening,Sunny,90,110,0.5,0.65,0.5,0.6,Sinhala,4,15,12
Nervous,Morning,Sunny,60,90,0.5,0.65,0.4,0.55,Sinhala,5,1,6
Lazy,Study,Rainy,100,120,0.66,0.7,0.5,0.6,Hindi,3,9,3
Neutral,Night,Sunny,90,110,0.5,0.65,0.5,0.6,English,4,14,14
Neutral,Evening,Sunny,90,110,0.5,0.65,0.5,0.6,English,4,14,12
Lazy,Night,Rainy,100,120,0.66,0.7,0.5,0.6,English,3,9,1
Neutral,Night,Sunny,90,110,0.5,0.65,0.5,0.6,Sinhala,4,14,14
Lazy,Night,Rainy,100,120,0.66,0.7,0.5,0.6,Sinhala,4,10,1
Lazy,Evening,Rainy,100,120,0.66,0.7,0.5,0.6,Hindi,4,12,19
Lazy,Study,Sunny,100,120,0.66,0.7,0.5,0.6,Sinhala,3,11,4
Nervous,Morning,Rainy,60,90,0.5,0.65,0.4,0.55,Sinhala,4,3,5
Nervous,Study,Rainy,60,90,0.5,0.65,0.4,0.55,Sinhala,4,4,11
Aggressive,Study,Rainy,70,100,0.45,0.6,0.4,0.55,Sinhala,2,5,7
Aggressive,Study,Sunny,70,100,0.45,0.6,0.4,0.55,Sinhala,5,7,8
Nervous,Evening,Rainy,60,90,0.5,0.65,0.4,0.55,Sinhala,5,2,7
Neutral,Night,Rainy,90,110,0.5,0.65,0.5,0.6,Sinhala,3,13,13
Aggressive,Morning,Rainy,70,100,0.45,0.6,0.4,0.55,Sinhala,3,8,1
Nervous,Evening,Rainy,60,90,0.5,0.65,0.4,0.55,Sinhala,4,4,7
Nervous,Study,Rainy,60,90,0.5,0.65,0.4,0.55,English,4,3,11
Aggressive,Study,Sunny,70,100,0.45,0.6,0.4,0.55,Sinhala,3,8,8
Neutral,Night,Rainy,90,110,0.5,0.65,0.5,0.6,Hindi,3,16,13
Aggressive,Morning,Rainy,70,100,0.45,0.6,0.4,0.55,Sinhala,4,6,1
Aggressive,Study,Rainy,70,100,0.45,0.6,0.4,0.55,Hindi,5,7,7
Neutral,Night,Rainy,90,110,0.5,0.65,0.5,0.6,Sinhala,4,15,13
Lazy,Study,Rainy,100,120,0.66,0.7,0.5,0.6,Hindi,3,9,3
Neutral,Night,Sunny,90,110,0.5,0.65,0.5,0.6,English,4,15,14
Nervous,Evening,Rainy,60,90,0.5,0.65,0.4,0.55,English,4,4,7
Neutral,Study,Sunny,90,110,0.5,0.65,0.5,0.6,Sinhala,4,14,16
Neutral,Study,Rainy,90,110,0.5,0.65,0.5,0.6,English,3,13,15
Neutral,Night,Sunny,90,110,0.5,0.65,0.5,0.6,English,3,13,14
Nervous,Night,Sunny,60,90,0.5,0.65,0.4,0.55,Hindi,5,1,10
Nervous,Study,Rainy,60,90,0.5,0.65,0.4,0.55,Sinhala,4,3,11
Aggressive,Night,Sunny,70,100,0.45,0.6,0.4,0.55,Hindi,3,8,6
Aggressive,Evening,Rainy,70,100,0.45,0.6,0.4,0.55,Sinhala,5,7,3
Aggressive,Evening,Sunny,70,100,0.45,0.6,0.4,0.55,Sinhala,2,5,4
Lazy,Study,Rainy,100,120,0.66,0.7,0.5,0.6,English,4,10,3
Aggressive,Morning,Rainy,70,100,0.45,0.6,0.4,0.55,English,5,7,1
Aggressive,Night,Sunny,70,100,0.45,0.6,0.4,0.55,English,4,6,6
Aggressive,Morning,Sunny,70,100,0.45,0.6,0.4,0.55,Hindi,4,6,2
Nervous,Night,Rainy,60,90,0.5,0.65,0.4,0.55,English,4,3,9
Lazy,Evening,Sunny,100,120,0.66,0.7,0.5,0.6,English,4,12,20
Neutral,Evening,Rainy,90,110,0.5,0.65,0.5,0.6,Hindi,4,15,11
Aggressive,Study,Rainy,70,100,0.45,0.6,0.4,0.55,Hindi,4,6,7
Nervous,Night,Sunny,60,90,0.5,0.65,0.4,0.55,Hindi,5,1,10
Nervous,Study,Sunny,60,90,0.5,0.65,0.4,0.55,English,5,1,12
Nervous,Morning,Rainy,60,90,0.5,0.65,0.4,0.55,English,5,2,5
Neutral,Night,Sunny,90,110,0.5,0.65,0.5,0.6,English,4,14,14
Lazy,Study,Rainy,100,120,0.66,0.7,0.5,0.6,Hindi,4,10,3
Nervous,Evening,Rainy,60,90,0.5,0.65,0.4,0.55,English,5,2,7
Nervous,Evening,Rainy,60,90,0.5,0.65,0.4,0.55,Hindi,5,1,7
Aggressive,Night,Sunny,70,100,0.45,0.6,0.4,0.55,Hindi,2,5,6
Nervous,Study,Rainy,60,90,0.5,0.65,0.4,0.55,Hindi,5,1,11
Lazy,Evening,Rainy,100,120,0.66,0.7,0.5,0.6,English,4,12,19
Nervous,Evening,Rainy,60,90,0.5,0.65,0.4,0.55,English,4,4,7
Nervous,Night,Rainy,60,90,0.5,0.65,0.4,0.55,Sinhala,5,2,9
Lazy,Evening,Sunny,100,120,0.66,0.7,0.5,0.6,Hindi,4,12,20
Lazy,Study,Sunny,100,120,0.66,0.7,0.5,0.6,Sinhala,4,12,4
Nervous,Morning,Rainy,60,90,0.5,0.65,0.4,0.55,English,5,2,5
Aggressive,Night,Rainy,70,100,0.45,0.6,0.4,0.55,English,2,5,5
Lazy,Study,Rainy,100,120,0.66,0.7,0.5,0.6,Hindi,4,10,3
Aggressive,Morning,Rainy,70,100,0.45,0.6,0.4,0.55,Sinhala,3,8,1
Neutral,Study,Rainy,90,110,0.5,0.65,0.5,0.6,Hindi,4,14,15
Neutral,Study,Rainy,90,110,0.5,0.65,0.5,0.6,Hindi,4,15,15
Neutral,Morning,Sunny,90,110,0.5,0.65,0.5,0.6,Sinhala,4,15,10
Aggressive,Evening,Sunny,70,100,0.45,0.6,0.4,0.55,English,3,8,4
